Product,Price,Local,Image_url
Assado de Tira Angus Carapreta Congelado,"139,90/kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/167fp1/assado-de-tira-angus-carapreta-congelado.jpg
Bife de Vazio (Flank Steak) Cong. Tutui,"64,90/kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/417fp1/bife-de-vazio-flank-steak-cong-tutui.jpg
Flat Iron Cong. Tutui,"132,90/kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/420fp1/flat-iron-cong-tutui.jpg
Capa do Filé Cong. Tutui,"59,90 / kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/416fp1/capa-do-file-cong-tutui.jpg
Bananinha Cong. Tutui,"82,90 / kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/413fp1/bananinha-cong-tutui.jpg
Miolo da Alcatra (Bombom) Cong. Tutui,"74,90/kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/412fp1/miolo-da-alcatra-bombom-cong-tutui.jpg
Chorizo Porcionado Cong. Tutui,"99,90/KG",Gadaria,https://www.gadaria.com.br/fotos/pequena/408fp1/chorizo-porcionado-cong-tutui.jpg
Picanha Fatiada Cong. Tutui,"79,90 kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/409fp1/picanha-fatiada-cong-tutui.jpg
Steak de Picanha (original) Cong. Tutui,"109,90 kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/410fp1/steak-de-picanha-original-cong-tutui.jpg
Cowboy Steak Cong. Tutui,"72,90",Gadaria,https://www.gadaria.com.br/fotos/pequena/406fp1/cowboy-steak-cong-tutui.jpg
Fraldinha (Entranha Grossa) Tutui Congelada,"79,90 kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/397fp1/fraldinha-entranha-grossa-tutui-congelada.jpg
Short Rib Tutui,"89,90/Kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/390fp1/short-rib-tutui.jpg
Porterhouse Tutui Congelado,"89,90/KG",Gadaria,https://www.gadaria.com.br/fotos/pequena/389fp1/porterhouse-tutui-congelado.jpg
T-Bone Tutui Congelado,"89,90/kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/391fp1/t-bone-tutui-congelado.jpg
Vazio Tutui Resfriado,"89,90/KG",Gadaria,https://www.gadaria.com.br/fotos/pequena/392fp1/vazio-tutui-resfriado.jpg
Assado de Tira Tutui (Costela do Dianteiro) Congelado,"129,90/kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/385fp1/assado-de-tira-tutui-costela-do-dianteiro-congelado.jpg
